ZVG-Nr.	CAS-Nr.	verwandte CAS-Nr.	Name
33450	557-34-6	 5970-45-6	Zinkacetat
33460	4253-24-1	 	Mellitsäuretrianhydrid
33470	25620-58-0	 	Trimethyl-1,6-hexandiamin, Isomere
33480	133-37-9	 87-69-4  147-71-7  147-73-9	Weinsäure
33530	26447-14-3	 	Glycidyltolylether, Isomere
33540	75-63-8	 	Bromtrifluormethan
33600	80-15-9	 	Cumolhydroperoxid
33610	617-94-7	 	2-Phenyl-2-propanol
33620	80-43-3	 	Dicumylperoxid
33630	13668-61-6	 	2-Cyclopentenylessigsäure
33640	87-65-0	 	2,6-Dichlorphenol
33650	79-16-3	 	N-Methylacetamid
33660	3195-78-6	 	N-Methyl-N-vinylacetamid
33670	109-60-4	 	Propylacetat
33680	50-85-1	 	2-Hydroxy-p-toluylsäure
33690	139-05-9	 	Natriumcyclamat
33700	634-93-5	 	2,4,6-Trichloranilin
33730	611-19-8	 	alpha,2-Dichlortoluol
33740	104-83-6	 	alpha,4-Dichlortoluol
33750	108-21-4	 	Isopropylacetat
33760	85-43-8	 	1,2,3,6-Tetrahydrophthalsäureanhydrid
33770	11070-44-3	 	Tetrahydromethylphthalsäureanhydrid, Isomerengemisch
33780	84713-17-7	 	2,2,4-Trimethylhexandinitril
33790	121-43-7	 	Trimethylborat
33800	593-90-8	 	Trimethylboran
33810	111-90-0	 	Diethylenglykolmonoethylether
33820	143-28-2	 	Oleol
33830	110-13-4	 	2,5-Hexandion
33840	103-01-5	 	N-Phenylglycin
33850	31566-31-1	 	Glycerinmonostearat
33870	102-69-2	 	Tripropylamin
33890	766-09-6	 	N-Ethylpiperidin
33900	25013-15-4	 	Methylstyrol, Isomere
33910	110-94-1	 	Glutarsäure
33920	118-90-1	 	o-Toluylsäure
33940	611-15-4	 	2-Methylstyrol
33950	118-93-4	 	2'-Hydroxyacetophenon
33960	105-45-3	 	Methylacetoacetat
33970	120-29-6	 	Tropin
33980	122-79-2	 	Phenylacetat
33990	57-10-3	 	Palmitinsäure
34000	15159-40-7	 	Morpholin-4-carbonylchlorid
34010	334-88-3	 	Diazomethan
34020	96-12-8	 	1,2-Dibrom-3-chlorpropan
34030	62-75-9	 	N-Nitrosodimethylamin
34040	680-31-9	 	Hexamethylphosphorsäuretriamid
34050	101-14-4	 	2,2'-Dichlor-4,4'-methylendianilin
34060	602-87-9	 	1,2-Dihydro-5-nitroacenaphthylen
34070	57-57-8	 	Propiolacton
34080	75-55-8	 	2-Methylaziridin
34090	91-94-1	 	3,3'-Dichlorbenzidin
34100	57-14-7	 	N,N-Dimethylhydrazin
34110	540-73-8	 	1,2-Dimethylhydrazin
34120	6104-30-9	 	N,N'-(Isobutyliden)diharnstoff
34140	839-90-7	 	1,3,5-Tris(2-hydroxyethyl)-cyanursäure 
34160	3173-72-6	 	Naphthylen-1,5-diisocyanat
34200	118-96-7	 	2,4,6-Trinitrotoluol
34210	52-51-7	 	2-Brom-2-nitro-1,3-propandiol
34230	556-61-6	 	Methylisothiocyanat
34270	31027-31-3	 	p-Isopropylphenylisocyanat
34280	1694-31-1	 	tert-Butylacetoacetat
34290	6915-15-7	 97-67-6  636-61-3  617-48-1	Äpfelsäure
34330	617-89-0	 	Furfurylamin
34400	1984-65-2	 	2,6-Dichloranisol
34490	94-09-7	 	Benzocain
34500	99-77-4	 	Ethyl-4-nitrobenzoat
34510	541-73-1	 	1,3-Dichlorbenzol
34530	1493-27-2	 	1-Fluor-2-nitrobenzol
34540	1817-47-6	 	p-Nitrocumol
34590	455-14-1	 	alpha,alpha,alpha-Trifluor-p-toluidin
34600	88-16-4	 	2-Chlorbenzotrifluorid
34610	98-15-7	 	3-Chlorbenzotrifluorid
34620	98-56-6	 	4-Chlorbenzotrifluorid
34630	384-22-5	 	2-Nitro-alpha,alpha,alpha-trifluortoluol
34640	402-54-0	 	4-Nitro-alpha,alpha,alpha-trifluortoluol
34650	118-83-2	 	5-Chlor-alpha,alpha,alpha-trifluor-2-nitrotoluol
34670	121-17-5	 	4-Chlor-3-nitrobenzotrifluorid
34680	52181-51-8	 	Chlorbenzotrifluorid, Isomere
34700	89-75-8	 	2,4-Dichlorbenzoylchlorid
34710	2517-43-3	 	3-Methoxybutan-1-ol
34750	591-80-0	 	4-Pentensäure
34760	77-47-4	 	Hexachlorcyclopentadien
34810	79-38-9	 	Chlortrifluorethen
34820	60-00-4	 	Ethylendiamintetraessigsäure
34830	497-26-7	 	2-Methyl-1,3-dioxolan
34910	149-73-5	 	Trimethoxymethan
34950	112-67-4	 	Palmitoylchlorid
34960	8049-47-6	 	Pankreatin
34980	25167-81-1	 	Dichlorphenol, Isomere
35010	563-76-8	 	2-Brompropionylbromid
35030	24634-61-5	 	Kaliumsorbat
35060	87-60-5	 	3-Chlor-o-toluidin
35080	118-69-4	 	2,6-Dichlortoluol
35110	623-25-6	 	alpha,alpha'-Dichlor-p-xylol
35130	8030-30-6	 	Naphtha, niedrig siedend
35140	91-17-8	 493-01-6  493-02-7	Decalin
35150	25639-42-3	 	Methylcyclohexanol, Isomere
35170	26761-40-0	 68515-49-1	Diisodecylphthalat
35190	121-21-1	 	Pyrethrin I
35200	121-29-9	 	Pyrethrin II
35220	25155-30-0	 	Natriumdodecylbenzolsulfonat, Isomere
35230	77-92-9	 5949-29-1	Zitronensäure
35240	2634-33-5	 	1,2-Benzoisothiazol-3(2H)-on
35260	87-90-1	 	Trichlorisocyanursäure
35270	372-09-8	 	Cyanessigsäure
35300	527-07-1	 	Natriumgluconat
35310	13268-42-3	 	Ammoniumeisen(III)-oxalat, Trihydrat
35330	1115-47-5	 	N-Acetyl-DL-methionin
35380	13325-10-5	 	4-Amino-1-butanol
35400	81-81-2	 5543-57-7  5543-58-8	Warfarin
35430	1910-42-5	 	Paraquatdichlorid
35440	72-43-5	 	Methoxychlor
35450	51-03-6	 	Piperonylbutoxid
35460	83-79-4	 	Rotenon
35480	1330-78-5	 	Trikresylphosphat, Isomere (o-o-o, o-o-m, o-o-p, o-m-m, o-m-p, o-p-p)
35490	143-50-0	 	Chlordecon
35500	112-53-8	 	1-Dodecanol
35530	110-30-5	 	Distearylethylendiamid
35540	111-88-6	 	Octan-1-thiol
35560	637-12-7	 	Aluminiumtristearat
35570	538-74-9	 	Dibenzylsulfid
35610	120-93-4	 121325-67-5	2-Imidazolidon
35650	1320-79-2	 	Natriumtrichlorphenolat, Isomere
35680	1127-76-0	 	1-Ethylnaphthalin
35690	132-65-0	 	Dibenzothiophen
35700	218-01-9	 	Chrysen
35710	243-17-4	 	Benzo(b)fluoren
35740	2402-78-0	 	2,6-Dichlorpyridin
35750	486-25-9	 	Fluoren-9-on
35760	1470-94-6	 	5-Indanol
35770	1195-59-1	 	2,6-Bis(hydroxymethyl)pyridin
35780	61-54-1	 	2-(3-Indolyl)ethylamin
35830	84-11-7	 	9,10-Phenanthrenchinon
35840	87-52-5	 	Gramin
35880	771-51-7	 	3-Indolylacetonitril
35960	2809-21-4	 	1-Hydroxyethan-1,1-diphosphonsäure
35990	629-25-4	 	Natriumlaurat
36010	2177-18-6	 	Vinylacrylat
36040	130-95-0	 	Chinin
36050	56-54-2	 	Chinidin
36060	118-10-5	 	Cinchonin
36070	90-80-2	 	D-Glucono-1,5-lacton
36080	5872-08-2	 	Campher-10-sulfonsäure
36090	139-07-1	 	Benzyldodecyldimethylammoniumchlorid
36110	1689-64-1	 	9-Fluorenol
36160	50-55-5	 	Reserpin
36180	20830-75-5	 	Digoxin
36190	71-63-6	 	Digitoxin
36220	1672-46-4	 	Digoxigenin
36230	30685-43-9	 	Methyldigoxin
36270	144-80-9	 	Sulfacetamid
36290	17639-93-9	 	Methyl-2-chlorpropionat
36300	776-99-8	 	1-(3,4-Dimethoxyphenyl)aceton
36310	637-39-8	 	Triethanolaminhydrochlorid
36320	57-48-7	 	Fructose
36330	63-05-8	 	4-Androsten-3,17-dion
36350	116-54-1	 	Methyldichloracetat
36360	56-75-7	 	Chloramphenicol
36390	108-22-5	 	Isopropenylacetat
36430	75-75-2	 	Methansulfonsäure
36440	507-09-5	 	Thioessigsäure
36460	625-48-9	 	2-Nitroethanol
36510	60-19-5	 	4-Hydroxyphenethylammoniumchlorid
36520	94-05-3	 	Ethyl-2-cyan-3-ethoxyacrylat
36560	87-41-2	 	Phthalid
36570	590-86-3	 	Isovaleraldehyd
36590	33924-48-0	 	5-Chlor-2-methoxybenzoesäuremethylester
36640	10238-21-8	 	Glibenclamid
36710	4584-46-7	 	2-Chlorethyldimethylammoniumchlorid
36750	57-88-5	 	Cholesterin
36760	3249-68-1	 	Ethyl-3-oxohexanoat
36770	51-52-5	 	Propylthiouracil
36840	64-04-0	 	Phenethylamin
36850	56-35-9	 	Bis(tributylzinn)oxid
36860	540-88-5	 	tert-Butylacetat
36880	121-86-8	 	2-Chlor-4-nitrotoluol
36900	557-05-1	 	Zinkdistearat
36910	131-17-9	 	Diallylphthalat
36920	614-45-9	 	tert-Butylperbenzoat
36940	513-42-8	 	2-Methyl-2-propen-1-ol
36960	598-75-4	 	3-Methyl-2-butanol
37020	18516-37-5	 	2-Methyl-1-undecen
37030	98-51-1	 	4-tert-Butyltoluol
37040	77-75-8	 	3-Methyl-1-pentin-3-ol
37050	691-37-2	 	4-Methyl-1-penten
37060	763-29-1	 	2-Methyl-1-penten
37070	107-83-5	 	2-Methylpentan
37080	4588-18-5	 	2-Methyl-1-octen
37110	926-65-8	 	2-(Vinyloxy)propan
37120	99-87-6	 	4-Isopropyltoluol
37130	121-91-5	 	Isophthalsäure
37140	4170-30-3	 	Crotonaldehyd, cis-trans-Isomerengemisch
37150	543-49-7	 	2-Heptanol
37170	592-43-8	 	2-Hexen, cis und trans
37180	110-43-0	 	2-Heptanon
37200	106-35-4	 	3-Heptanon
37210	592-76-7	 	1-Hepten
37220	14686-14-7	 	trans-3-Hepten
37230	556-52-5	 	2,3-Epoxy-1-propanol
37240	123-92-2	 	Isopentylacetat
37250	105-46-4	 	sec-Butylacetat
37260	108-84-9	 	1,3-Dimethylbutylacetat
37280	107-41-5	 	2-Methyl-2,4-pentandiol
37300	78-98-8	 	2-Oxopropanal
37310	34590-94-8	 13429-07-7  20324-32-7  13588-28-8  55956-21-3	Dipropylenglykolmonomethylether, Isomerengemisch
37330	76-93-7	 	Benzilsäure
37350	104-82-5	 	4-Methylbenzylchlorid
37360	112-73-2	 	Diethylenglykoldibutylether
37370	623-26-7	 	Terephthalonitril
37380	111-96-6	 	Diethylenglykoldimethylether
37410	625-38-7	 	3-Butensäure
37420	104-87-0	 	p-Tolualdehyd
37430	103-09-3	 	2-Ethylhexylacetat
37440	622-45-7	 	Cyclohexylacetat
37450	105-54-4	 	Ethylbutyrat
37470	104-85-8	 	p-Tolunitril
37480	553-72-0	 	Zinkdibenzoat
37490	75-98-9	 	2,2-Dimethylpropionsäure
37500	558-13-4	 	Tetrabrommethan
37510	928-55-2	 	1-Ethoxypropen
37530	629-14-1	 	Ethylenglykoldiethylether
37540	4223-11-4	 	Ethylenglykolbutylvinylether
37560	97-96-1	 	2-Ethylbutyraldehyd
37570	88-09-5	 	2-Ethylbuttersäure
37590	141-82-2	 	Malonsäure
37610	503-74-2	 	3-Methylbuttersäure
37630	541-85-5	 	5-Methyl-3-heptanon
37640	591-76-4	 	2-Methylhexan
37670	693-65-2	 	Dipentylether
37680	111-44-4	 	Bis(2-chlorethyl)ether
37690	542-88-1	 	Bis(chlormethyl)ether
37700	110-15-6	 	Bernsteinsäure
37710	98-73-7	 	4-tert-Butylbenzoesäure
37720	124-18-5	 	Decan
37740	96-41-3	 	Cyclopentanol
37750	291-64-5	 	Cycloheptan
37760	78-89-7	 	2-Chlor-1-propanol
37770	26638-19-7	 	Dichlorpropan, Isomere
37780	123-18-2	 	2,6,8-Trimethylnonan-4-on
37790	134-81-6	 	Benzil
37800	119-53-9	 	Benzoin
37810	532-27-4	 	2-Chloracetophenon
37830	552-16-9	 	2-Nitrobenzoesäure
37840	111-87-5	 	1-Octanol
37850	111-29-5	 	1,5-Pentandiol
37860	103-89-9	 	Essigsäure-p-toluidid
37870	112-70-9	 	1-Tridecanol
37880	117-08-8	 	Tetrachlorphthalsäureanhydrid
37890	112-59-4	 	Diethylenglykolmonohexylether
37910	107-93-7	 3724-65-0	Crotonsäure
37920	122-97-4	 	3-Phenyl-1-propanol
37930	2489-86-3	 	1-Allylnaphthalin
37940	625-55-8	 	Isopropylformiat
37950	692-45-5	 	Vinylformiat
37980	2937-50-0	 	Allylchlorformiat
37990	592-34-7	 	Butylchlorformiat
38000	535-80-8	 	3-Chlorbenzoesäure
38010	105-56-6	 	Ethylcyanacetat
38020	97-61-0	 	2-Methylvaleriansäure
38030	143-22-6	 	Triethylenglykolmonobutylether
38040	554-12-1	 	Methylpropionat
38060	96-27-5	 	3-Mercapto-1,2-propandiol
38090	112-25-4	 	Ethylenglykolmonohexylether
38110	4431-83-8	 	2,5,7,10-Tetraoxaundecan
38120	112-35-6	 	Triethylenglykolmonomethylether
38130	121-34-6	 	Vanillinsäure
38140	107-01-7	 	2-Buten, Isomerengemisch aus cis-2-Buten und trans-2-Buten
38150	1321-67-1	 	Naphthol, Isomere
38180	112-69-6	 	Hexadecyldimethylamin
38200	1189-71-5	 	Chlorsulfonylisocyanat
38220	103-23-1	 	Bis(2-ethylhexyl)adipat
38250	76-11-9	 	Tetrachlor-2,2-difluorethan
38260	75-46-7	 	Trifluormethan
38280	1321-65-9	 	Trichlornaphthalin, Isomere
38290	99-35-4	 	1,3,5-Trinitrobenzol
38300	509-14-8	 	Tetranitromethan
38320	112-49-2	 	Triethylenglykoldimethylether
38340	102-70-5	 	Triallylamin
38350	621-77-2	 	Tripentylamin
38360	76-06-2	 	Trichlornitromethan
38370	110-66-7	 	1-Pentanthiol
38380	78-90-0	 	Propan-1,2-diamin
38390	107-10-8	 	Propylamin
38400	142-84-7	 	Dipropylamin
38420	95-92-1	 	Diethyloxalat
38430	460-19-5	 	Oxalsäuredinitril
38460	55-18-5	 	N-Nitrosodiethylamin
38470	112-05-0	 	Nonansäure
38480	108-03-2	 	1-Nitropropan
38490	79-24-3	 	Nitroethan
38500	75-52-5	 	Nitromethan
38520	999-21-3	 	Diallylmaleat
38550	534-52-1	 	DNOC
38570	99-89-8	 	4-Isopropylphenol
38580	88-69-7	 	2-Isopropylphenol
38600	111-41-1	 	N-(Aminoethyl)ethanolamin
38610	110-58-7	 	Pentylamin
38640	109-74-0	 	Butyronitril
38650	110-61-2	 	Succinonitril
38670	2426-08-6	 	Butylglycidylether
38680	109-79-5	 	Butanthiol
38690	580-13-2	 	2-Bromnaphthalin
38710	110-75-8	 	2-Chlorethylvinylether
38720	600-25-9	 	1-Chlor-1-nitropropan
38730	108-43-0	 	3-Chlorphenol
38740	108-41-8	 	3-Chlortoluol
38760	75-68-3	 	1-Chlor-1,1-difluorethan
38770	75-88-7	 	2-Chlor-1,1,1-trifluorethan
38780	87-59-2	 	2,3-Xylidin
38790	608-27-5	 	2,3-Dichloranilin
38800	610-30-0	 	2,4-Dinitrobenzoesäure
38810	27193-86-8	 	Dodecylphenol, Isomerengemisch
38820	100-25-4	 	1,4-Dinitrobenzol
38840	110-96-3	 	Diisobutylamin
38850	108-57-6	 	1,3-Divinylbenzol
38860	2050-92-2	 	Dipentylamin
38870	576-26-1	 	2,6-Xylenol
38880	613-29-6	 	N,N-Dibutylanilin
38890	563-54-2	 	1,2-Dichlorpropen
38900	542-75-6	 	1,3-Dichlorpropen, Isomerengemisch
38910	75-61-6	 	Dibromdifluormethan
38920	628-76-2	 	1,5-Dichlorpentan
38930	76-14-2	 	1,2-Dichlor-1,1,2,2-tetrafluorethan
38940	75-43-4	 	Dichlorfluormethan
38950	13360-63-9	 	Butyl(ethyl)amin
38960	75-08-1	 	Ethanthiol
38970	62-50-0	 	Ethylmethansulfonat
38990	75-37-6	 	1,1-Difluorethan
39000	5655-61-8	 	L-2-Bornylacetat
39010	6863-58-7	 	Di-sec-butylether
39030	628-94-4	 	Adipinsäurediamid
39040	1656-48-0	 	3,3'-Oxydipropionitril
39150	760-23-6	 	3,4-Dichlor-1-buten
39160	764-41-0	 	1,4-Dichlor-2-buten
39200	644-08-6	 	4-Phenyltoluol
39220	4376-20-9	 	(2-Ethylhexyl)hydrogenphthalat
39230	79-21-0	 	Peroxyessigsäure
39250	502-44-3	 	epsilon-Caprolacton
39340	66-25-1	 	Capronaldehyd
39380	556-50-3	 	N-Glycylglycin
39390	682-01-9	 	Tetrapropylsilikat
39430	546-68-9	 	Titantetraisopropanolat
39460	1070-10-6	 	Titantetrakis(2-ethylhexanolat)
39470	7425-80-1	 	Titantetraisobutanolat
39490	4109-96-0	 	Dichlorsilan
39500	3268-87-9	 	Octachlordibenzo-p-dioxin
39510	37871-00-4	 	Heptachlordibenzo-p-dioxin, Isomere
39520	935-95-5	 	2,3,5,6-Tetrachlorphenol
39530	38998-75-3	 	Heptachlordibenzofuran, Isomere
39540	39001-02-0	 	Octachlordibenzofuran
39550	85712-07-8	 	Natrium-2,3,5,6-tetrachlorphenolat
39560	75-94-5	 	Vinyltrichlorsilan
39570	2487-90-3	 	Trimethoxysilan
39580	2530-83-8	 	Glycidyloxypropyltrimethoxysilan
39590	96-05-9	 	Allylmethacrylat
39600	18169-57-8	 	Isobutyltrichlorsilan
39610	2550-06-3	 	Trichlor(3-chlorpropyl)silan
39620	141-57-1	 	Propyltrichlorsilan
39630	2768-02-7	 	Vinyltrimethoxysilan
39640	78-08-0	 	Triethoxyvinylsilan
39650	1067-53-4	 	Tris(2-methoxyethoxy)vinylsilan
39670	5089-70-3	 	(3-Chlorpropyl)triethoxysilan
39680	628-92-2	 	Cyclohepten
39710	563-79-1	 	2,3-Dimethyl-2-buten
39730	5343-92-0	 	1,2-Pentandiol
39740	592-41-6	 	1-Hexen
39750	1436-34-6	 	1,2-Epoxyhexan
39760	286-20-4	 	1,2-Epoxycyclohexan
39770	2984-50-1	 	1,2-Epoxyoctan
39780	4559-86-8	 	Tetra-n-butylharnstoff
39790	84-51-5	 	2-Ethylantrachinon
39820	75-25-2	 	Tribrommethan
39840	139-89-9	 	Trinatrium-2-(carboxylatomethyl(2-hydroxyethyl)amino)ethyliminodi(acetat)
39850	97-65-4	 	Propen-2,3-dicarbonsäure
39870	6865-35-6	 	Bariumstearat
39900	133-13-1	 	Diethylethylmalonat
39910	87-13-8	 	Diethylethoxymethylenmalonat
39940	1603-40-3	 	3-Methyl-2-pyridylamin
39950	1067-33-0	 	Dibutylzinndiacetat
39960	868-14-4	 	Kaliumhydrogentartrat
39980	121-75-5	 	Malathion
39990	13171-21-6	 297-99-4	Phosphamidon
40030	75-73-0	 	Tetrafluormethan
40060	50-69-1	 	D-Ribose
40080	83-88-5	 	Riboflavin
40120	540-69-2	 	Ammoniumformiat
40210	87-79-6	 	L-Sorbose
40250	50-81-7	 	L(+)-Ascorbinsäure
40260	123-56-8	 	Succinimid
40270	128-08-5	 	N-Bromsuccinimid
40290	137-08-6	 	Calcium-D-pantothenat
40300	98-92-0	 	Nicotinamid
40310	59-67-6	 	Nicotinsäure
40360	138-24-9	 	Phenyltrimethylammoniumchlorid
40390	557-40-4	 	Diallylether
40450	563-47-3	 	3-Chlor-2-methylpropen
40460	1561-92-8	 	Natrium-2-methylprop-2-en-1-sulfonat
40480	1634-04-4	 	Methyl-tert-butylether
40490	947-04-6	 	Laurinlactam
40510	102-25-0	 	1,3,5-Triethylbenzol
40520	3710-30-3	 	1,7-Octadien
40540	772-00-9	 	4-Phenyl-1,3-dioxan
40550	696-71-9	 	Cyclooctanol
40560	931-87-3	 	cis-Cycloocten
40570	112-47-0	 	1,10-Decandiol
40580	13019-22-2	 	9-Decen-1-ol
40590	5675-51-4	 	1,12-Dodecandiol
40600	20056-92-2	 	cis-7-Dodecen-1-ol
40620	629-41-4	 	1,8-Octandiol
40630	124-13-0	 	Caprylaldehyd
40650	3391-86-4	 	1-Octen-3-ol
40660	3010-02-4	 	Diethylaminoacetonitril
40690	12075-68-2	 	Triethyldialuminiumtrichlorid
40700	540-51-2	 	2-Bromethanol
40710	111-75-1	 	Butylmonoethanolamin
40780	294-62-2	 	Cyclododecan
40790	1724-39-6	 	Cyclododecanol
40800	696-29-7	 	Isopropylcyclohexan
40810	27776-01-8	 	Benzyltoluol
40840	925-21-3	 	Butylhydrogenmaleat
40900	10563-26-5	 	N,N'-Bis(3-aminopropyl)ethylendiamin
40920	693-23-2	 	Dodecandisäure
40940	629-40-3	 	Suberonitril
40970	89-05-4	 	Pyromellithsäure
40980	936-49-2	 	2-Phenyl-2-imidazolin
41030	132-32-1	 	3-Amino-9-ethylcarbazol
41040	119-34-6	 	4-Amino-2-nitrophenol
41050	504-29-0	 	2-Aminopyridin
41070	7803-52-3	 	Antimonwasserstoff
41080	86-88-4	 	Antu
41090	1912-24-9	 	Atrazin
41100	4885-02-3	 	(Dichlormethyl)methylether
41110	74-97-5	 	Bromchlormethan
41150	137-05-3	 	Methyl-2-cyanacrylat
41160	110-22-5	 	Diacetylperoxid
41180	594-72-9	 	1,1-Dichlor-1-nitroethan
41210	88-10-8	 	Diethylcarbamoylchlorid
41220	75-38-7	 	1,1-Difluorethen
41230	2238-07-5	 	Diglycidylether
41240	838-88-0	 	4,4'-Methylendi-o-toluidin
41260	27478-34-8	 605-71-0	Dinitronaphthalin, Isomere
41270	72-20-8	 	Endrin
41300	628-96-6	 	Glykoldinitrat
41320	55-63-0	 	Glycerintrinitrat
41330	76-44-8	 	Heptachlor
41360	479-45-8	 	N-Methyl-2,4,6-N-tetranitroanilin
41370	7786-34-7	 	Mevinphos
41380	300-76-5	 	Naled
41400	62-74-8	 	Natriumfluoracetat
41410	54-11-5	 	Nikotin
41430	101-80-4	 	4,4'-Oxydianilin
41450	6423-43-4	 	Propan-1,2-dioldinitrat
41460	8003-34-7	 	Pyrethrum
41470		 	Strychninsalze
41480	3689-24-5	 	Sulfotep
41510	88-88-0	 	2-Chlor-1,3,5-trinitrobenzol
41520	552-30-7	 	Trimellitsäureanhydrid
41530	512-56-1	 	Trimethylphosphat
41540	129-79-3	 	2,4,7-Trinitrofluoren-9-on
41550	88-89-1	 	Pikrinsäure, trocken oder mit weniger als 30 % Wasser angefeuchtet
41560	137-17-7	 	2,4,5-Trimethylanilin
50010	571-58-4	 	1,4-Dimethylnaphthalin
50020	99-86-5	 	p-Mentha-1,3-dien
50030	688046-61-9	 	Pyriofenon
50040	21293-29-8	 	S-Abscisinsäure
50050	97780-06-8	 	Ethametsulfuron-methyl
50060	95266-40-3	 	Trinexapac-ethyl
50070	78821-43-9	 	24-Epibrassinolid
50080	178928-70-6	 	Prothioconazol
50090	1101132-67-5	 	Tolpyralat
50100	81777-89-1	 	Clomazon
50110	155569-91-8	 	Emamectinbenzoat
50120	1228284-64-7	 	Pydiflumetofen
50130	874967-67-6	 	Sedaxan
50140	1132-61-2	 	(3-(N-Morpholino)propansulfonsäure 
50150	1112-67-0	 	Tetra-n-butylammoniumchlorid
50160	1122-58-3	 	4-(Dimethylamino)pyridin
50170	732-26-3	 	2,4,6-Tri-tert-butylphenol
50180	2797-51-5	 	Quinoclamin
50190	1576-35-8	 	Toluol-4-sulfonohydrazid
50200	375-85-9	 	Perfluorheptansäure
50210	283159-90-0	 	Valifenalat
50220		 	6-[C12-18-Alkyl-(verzweigt, ungesättigt)-2,5-dioxopyrrolidin-1-yl]hexansäure, Natrium- und Tris(2-hydroxyethyl)ammoniumsalze 
50230	2156592-54-8	 	6-[(C10-C13)-Alkyl-(verzweigt, ungesättigt)-2,5-dioxopyrrolidin-1-yl]hexansäure 
50240		 	6-[(C12-18)-Alkyl-(verzweigt, ungesättigt)-2,5-dioxopyrrolidin-1-yl]hexansäure
50250	74115-24-5	 	Clofentezin
50260	179101-81-6	 	Pyridalyl
50270	239110-15-7	 	Fluopicolid
50280	874819-71-3	 	N-(2-Nitrophenyl)phosphortriamid
50290	1255734-28-1	 	Isoflucypram
50300	881685-58-1	 	Isopyrazam
50310	5395-50-6	 	Tetramethylolacetylendiharnstoff
50320	15337-18-5	 	Zinkbis(dipentyldithiocarbamat)
50330	577705-90-9	 	Benzyl(diethylamino)diphenylphosphonium4-[1,1,1,3,3,3-hexafluor-2-(4-hydroxyphenyl)propan-2-yl]phenolat
50340	75768-65-9	 	Benzyltriphenylphosphonium, Salz mit 4,4’-[2,2,2-Trifluor-1-(trifluormethyl)ethyliden]bis[phenol] (1:1)
50350		 	Reaktionsmasse aus 4,4’-[2,2,2-Trifluor-1-(trifluormethyl)ethyliden]diphenol und Benzyl(diethylamino)diphenylphosphonium4-[1,1,1,3,3,3-hexafluor-2-(4-hydroxyphenyl)propan-2-yl]phenolat (1:1)
50360		 	Reaktionsmasse aus 4,4’-[2,2,2-Trifluor-1-(trifluormethyl)ethyliden]diphenol und Benzyltriphenylphosphonium, Salz mit 4‚4’-[2,2,2-Trifluor-1-(trifluormethyl)ethyliden]diphenol (1:1)
50370		 	Reaktionsmasse aus1-(2,3-Epoxypropoxy)-2,2-bis((2,3-Epoxypropoxy)methyl)butan und 1-(2,3-Epoxypropoxy)-2-((2,3-Epoxypropoxy)methyl)-2-hydroxymethylbutan
50380	647-42-7	 	3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoroctan-1-ol
50390	1478-61-1	 	Bisphenol AF
50400		 127087-87-0  9016-45-9  26027-38-3  68412-54-4  27986-36-3  20427-84-3  27176-93-8  1119449-38-5  7311-27-5  27942-27-4  26264-02-8  27177-05-5  14409-72-4	Nonylphenol, verzweigt und linear, ethoxyliert (mit durchschnittlicher Molmasse ≤ 1 540 g/mol) [einschließlich Ortho-, Meta-, Para-Isomeren oder einer beliebigen Kombination daraus]
50410	72869-86-4	 	7,7,9(oder 7,9,9)-Trimethyl-4,13-dioxo-3,14-dioxa-5,12-diazahexadecan-1,16-diylbismethacrylat
50420	729-43-1	 	1-Phenylethan-1-on(1-phenylethyliden)hydrazon
50430	68953-84-4	 	1,4-Benzoldiamin, N,N’-gemischte Phenyl und Tolylderivate
50440	119446-68-3	 	Difenoconazol
50450	989-38-8	 	9-[2-(Ethoxycarbonyl)phenyl]-3,6-bis(ethylamino)-2,7-dimethylxanthyliumchlorid
50460	173159-57-4	 	Foramsulfuron
50470	8023-79-8	 	Palmkernöl
50480			mehrwandige Kohlenstoffröhren (röhrenförmiger synthetischer Graphit) mit einem geometrischen Durchmesser der Röhren von ≥ 30 nm bis < 3 μm und einer Länge von ≥ 5 μm und einem Aspektverhältnis von > 3:1, einschließlich mehrwandiger Kohlenstoffnanoröhren, MWC(N)T
50490		 	Reaktionsmasse aus 1,3-Dioxan-5-ol und 1,3-Dioxolan-4-ylmethanol
50500		 	PFAS: Übersichtsdatenblatt Per- und polyfluorierte Alkylverbindungen
50510	737776-68-0	 	(S)-alpha-Methyl-1,3-benzodioxol-5-propionaldehyd
